DATE,FLIGHT,START_T,END_T,Duration_minute,Coord_n,Coord_w,SWIM_V,BOAT_V,Boat_number_close,Boat_number_far,Boat_total,POLICE_INFIELD
13-Aug-22,13AUG22_F01,9:01,9:25,24,21.26.685,86.39.250,Y,Y,30,14,44,Y
13-Aug-22,13AUG22_F02,9:41,10:00,19,21.28.209,86.39.139,Y,Y,27,,27,Y
13-Aug-22,13AUG22_F03,10:20,10:38,18,21.29.168,86.39.158,Y,Y,34,,34,N
13-Aug-22,13AUG22_F04,10:56,11:14,18,21.30.049,86.39.256,Y,Y,27,27,54,Y
13-Aug-22,13AUG22_F05,11:32,11:53,21,21.31.035,86.39.208,Y,Y,17,,17,Y
13-Aug-22,13AUG22_F06,12:57,13:17,20,21.32.183,86.32.967,Y,Y,6,10,16,N
13-Aug-22,13AUG22_F07,13:36,13:53,17,21.33.119,86.32.800,N,Y,3,,3,N
13-Aug-22,13AUG22_F08,14:13,14:32,19,21.83.863,86.32.707,Y,Y,1,,1,N
14-Aug-22,14AUG22_F01,9:47,10:09,22,21.26.045,86.34.252,Y,Y,62,6,68,Y
14-Aug-22,14AUG22_F02,10:25,10:45,20,21.26.723,86.34.406,Y,Y,38,26,64,N
14-Aug-22,14AUG22_F03,11:02,11:23,21,21.27.381,86.34.519,Y,Y,29,,29,Y
14-Aug-22,14AUG22_F04,12:04,12:22,18,21.28.705,86.34.685,Y,Y,4,6,10,N
14-Aug-22,14AUG22_F05,12:38,12:59,21,21.29.158,86.34.747,Y,Y,1,3,4,N
14-Aug-22,14AUG22_F06,13:43,14:04,21,21.30.454,86.35.007,Y,N,2,,2,N
14-Aug-22,14AUG22_F07,14:16,14:36,20,21.31.054,86.35.131,N,N,0,,0,N
15-Aug-22,15AUG22_F01,8:26,8:48,22,21.23.927,86.37.265,Y,Y,4,,4,N
15-Aug-22,15AUG22_F02,8:50,9:10,20,21.24.724,86.37.009,Y,Y,28,,28,N
15-Aug-22,15AUG22_F03,9:16,9:34,18,21.25.105,86.36.990,Y,Y,30,11,41,Y
15-Aug-22,15AUG22_F04,9:45,10:03,18,21.25.730,86.36.753,Y,Y,33,,33,N
15-Aug-22,15AUG22_F05,10:07,10:28,21,21.26.315,86.36.732,Y,Y,31,13,44,Y
15-Aug-22,15AUG22_F06,10:33,10:52,19,21.26.779,86.36.554,Y,Y,51,,51,Y
15-Aug-22,15AUG22_F07,10:59,11:19,20,21.27.318,86.36.505,Y,Y,28,,28,Y
15-Aug-22,15AUG22_F08,11:34,11:53,19,21.28.017,86.36.455,Y,N,15,,15,Y
15-Aug-22,15AUG22_F09,13:21,13:43,22,21.30.379,86.36.044,Y,Y,2,1,3,N
15-Aug-22,15AUG22_F10,13:45,14:02,17,21.30.812,86.36.136,N,N,0,,0,N
16-Aug-22,16AUG22_F01,8:50,9:11,21,21.23.987,86.34.912,Y,Y,27,,27,N
16-Aug-22,16AUG22_F02,9:14,9:35,21,21.24.064,86.34.617,Y,Y,38,,38,Y
16-Aug-22,16AUG22_F03,9:38,9:50,12,21.24.241,86.34.674,Y,Y,38,17,55,Y
16-Aug-22,16AUG22_F04,10:30,10:51,21,21.24.834,86.34.518,Y,Y,26,21,47,N
16-Aug-22,16AUG22_F05,10:58,11:20,22,21.25.448,86.34.435,Y,Y,7,18,25,Y
16-Aug-22,16AUG22_F06,11:32,11:52,20,21.25.692,86.34.168,Y,Y,10,9,19,N
16-Aug-22,16AUG22_F07,11:55,12:16,21,21.26.141,86.34.136,Y,Y,3,5,8,Y
16-Aug-22,16AUG22_F08,13:44,14:06,22,21.27.787,86.33.584,N,N,0,,0,N
17-Aug-22,17AUG22_F01,9:50,10:11,21,21.23.539,86.37.161,Y,Y,20,28,48,Y
17-Aug-22,17AUG22_F02,10:15,10:36,21,21.23.973,86.37.095,Y,Y,24,21,45,Y
17-Aug-22,17AUG22_F03,10:59,11:18,19,21.25.196,86.36.478,Y,Y,8,,8,N
17-Aug-22,17AUG22_F04,11:32,11:50,18,21.27.164,86.39.193,Y,Y,6,,6,Y
17-Aug-22,17AUG22_F05,11:56,12:15,19,21.27.722,86.39.244,Y,Y,4,2,6,Y
17-Aug-22,17AUG22_F06,12:23,12:46,23,21.28.324,86.39.186,Y,Y,1,,1,N
17-Aug-22,17AUG22_F07,13:34,13:53,19,21.29.575,86.39.191,N,N,0,,0,N
